EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID
118;Guy;Himuro;GHIMURO;5.151.274.565;2006-11-15;PU_CLERK;2600;0.2;114;30
119;Karen;Colmenares;KCOLMENA;5.151.274.566;2007-08-10;PU_CLERK;2500;0.15;114;30
120;Matthew;Weiss;MWEISS;6.501.231.234;2004-07-18;ST_MAN;8000;0.35;100;50
121;Adam;Fripp;AFRIPP;6.501.232.234;2005-04-10;ST_MAN;8200;0.35;100;50
122;Payam;Kaufling;PKAUFLIN;6.501.233.234;2003-05-01;ST_MAN;7900;0.35;100;50
123;Shanta;Vollman;SVOLLMAN;6.501.234.234;2005-10-10;ST_MAN;6500;0.3;100;50
124;Kevin;Mourgos;KMOURGOS;6.501.235.234;2007-11-16;ST_MAN;5800;0.3;100;50
125;Julia;Nayer;JNAYER;6.501.241.214;2005-07-16;ST_CLERK;3200;0.25;120;50
126;Irene;Mikkilineni;IMIKKILI;6.501.241.224;2006-09-28;ST_CLERK;2700;0.25;120;50
127;James;Landry;JLANDRY;6.501.241.334;2007-01-14;ST_CLERK;2400;0.15;120;50
128;Steven;Markle;SMARKLE;6.501.241.434;2008-03-08;ST_CLERK;2200;0.1;120;50
129;Laura;Bissot;LBISSOT;6.501.245.234;2005-08-20;ST_CLERK;3300;0.1;121;50
130;Mozhe;Atkinson;MATKINSO;6.501.246.234;2005-10-30;ST_CLERK;2800;0.1;121;50
131;James;Marlow;JAMRLOW;6.501.247.234;2005-02-16;ST_CLERK;2500;0.1;121;50
132;TJ;Olson;TJOLSON;6.501.248.234;2007-04-10;ST_CLERK;2100;0.25;121;50
133;Jason;Mallin;JMALLIN;6.501.271.934;2004-06-14;ST_CLERK;3300;0.2;122;50
134;Michael;Rogers;MROGERS;6.501.271.834;2006-08-26;ST_CLERK;2900;0.2;122;50
135;Ki;Gee;KGEE;6.501.271.734;2007-12-12;ST_CLERK;2400;0.15;122;50
136;Hazel;Philtanker;HPHILTAN;6.501.271.634;2008-02-06;ST_CLERK;2200;0.15;122;50
137;Renske;Ladwig;RLADWIG;6.501.211.234;2003-07-14;ST_CLERK;3600;0.1;123;50
138;Stephen;Stiles;SSTILES;6.501.212.034;2005-10-26;ST_CLERK;3200;0.3;123;50
139;John;Seo;JSEO;6.501.212.019;2006-02-12;ST_CLERK;2700;0.25;123;50
140;Joshua;Patel;JPATEL;6.501.211.834;2006-04-06;ST_CLERK;2500;0.2;123;50
141;Trenna;Rajs;TRAJS;6.501.218.009;2003-10-17;ST_CLERK;3500;0.2;124;50
142;Curtis;Davies;CDAVIES;6.501.212.994;2005-01-29;ST_CLERK;3100;0.15;124;50
143;Randall;Matos;RMATOS;6.501.212.874;2006-03-15;ST_CLERK;2600;0.1;124;50
144;Peter;Vargas;PVARGAS;6.501.212.004;2006-07-09;ST_CLERK;2500;;124;50
145;John;Russell;JRUSSEL;011.44.1344.429268;2004-10-01;SA_MAN;14000;;4;100
146;Karen;Partners;KPARTNER;011.44.1344.467268;2005-01-05;SA_MAN;13500;;3;100
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;2005-03-10;SA_MAN;12000;;3;100
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;2007-10-15;SA_MAN;11000;;3;100
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;2008-01-29;SA_MAN;10500;;2;100
150;Peter;Tucker;PTUCKER;011.44.1344.129268;2005-01-30;SA_REP;10000;;3;145
151;David;Bernstein;DBERNSTE;011.44.1344.345268;2005-03-24;SA_REP;9500;;25;145
152;Peter;Hall;PHALL;011.44.1344.478968;2005-08-20;SA_REP;9000;;25;145
153;Christopher;Olsen;COLSEN;011.44.1344.498718;2006-03-30;SA_REP;8000;;2;145
154;Nanette;Cambrault;NCAMBRAU;011.44.1344.987668;2006-12-09;SA_REP;7500;;2;145
155;Oliver;Tuvault;OTUVAULT;011.44.1344.486508;2007-11-23;SA_REP;7000;;15;145
156;Janette;King;JKING;011.44.1345.429268;2004-01-30;SA_REP;10000;;35;146
157;Patrick;Sully;PSULLY;011.44.1345.929268;2004-03-04;SA_REP;9500;;35;146
158;Allan;McEwen;AMCEWEN;011.44.1345.829268;2004-08-01;SA_REP;9000;;35;146
159;Lindsey;Smith;LSMITH;011.44.1345.729268;2005-03-10;SA_REP;8000;;3;146
160;Louise;Doran;LDORAN;011.44.1345.629268;2005-12-15;SA_REP;7500;;3;146
161;Sarath;Sewall;SSEWALL;011.44.1345.529268;2006-11-03;SA_REP;7000;;25;146
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;2005-11-11;SA_REP;10500;;25;147
163;Danielle;Greene;DGREENE;011.44.1346.229268;2007-03-19;SA_REP;9500;;15;147
164;Mattea;Marvins;MMARVINS;011.44.1346.329268;2008-01-24;SA_REP;7200;;1;147
165;David;Lee;DLEE;011.44.1346.529268;2008-02-23;SA_REP;6800;;1;147
166;Sundar;Ande;SANDE;011.44.1346.629268;2008-03-24;SA_REP;6400;;1;147
167;Amit;Banda;ABANDA;011.44.1346.729268;2008-04-21;SA_REP;6200;;1;147
168;Lisa;Ozer;LOZER;011.44.1343.929268;2005-03-11;SA_REP;11500;;25;148
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;2006-03-23;SA_REP;10000;;2;148
170;Tayler;Fox;TFOX;011.44.1343.729268;2006-01-24;SA_REP;9600;;2;148
171;William;Smith;WSMITH;011.44.1343.629268;2007-02-23;SA_REP;7400;;15;148
172;Elizabeth;Bates;EBATES;011.44.1343.529268;2007-03-24;SA_REP;7300;;15;148
173;Sundita;Kumar;SKUMAR;011.44.1343.329268;2008-04-21;SA_REP;6100;;1;148
174;Ellen;Abel;EABEL;011.44.1644.429267;2004-05-11;SA_REP;11000;;3;149
175;Alyssa;Hutton;AHUTTON;011.44.1644.429266;2005-03-19;SA_REP;8800;;25;149
176;Jonathon;Taylor;JTAYLOR;011.44.1644.429265;2006-03-24;SA_REP;8600;;2;149
177;Jack;Livingston;JLIVINGS;011.44.1644.429264;2006-04-23;SA_REP;8400;;2;149
178;Kimberely;Grant;KGRANT;011.44.1644.429263;2007-05-24;SA_REP;7000;;15;149
179;Charles;Johnson;CJOHNSON;011.44.1644.429262;2008-01-04;SA_REP;6200;;1;149
180;Winston;Taylor;WTAYLOR;6.505.079.876;2006-01-24;SH_CLERK;3200;;120;50
181;Jean;Fleaur;JFLEAUR;6.505.079.877;2006-02-23;SH_CLERK;3100;;120;50
182;Martha;Sullivan;MSULLIVA;6.505.079.878;2007-06-21;SH_CLERK;2500;;120;50
183;Girard;Geoni;GGEONI;6.505.079.879;2008-02-03;SH_CLERK;2800;;120;50
184;Nandita;Sarchand;NSARCHAN;6.505.091.876;2004-01-27;SH_CLERK;4200;;121;50
185;Alexis;Bull;ABULL;6.505.092.876;2005-02-20;SH_CLERK;4100;;121;50
186;Julia;Dellinger;JDELLING;6.505.093.876;2006-06-24;SH_CLERK;3400;;121;50
187;Anthony;Cabrio;ACABRIO;6.505.094.876;2007-02-07;SH_CLERK;3000;;121;50
188;Kelly;Chung;KCHUNG;6.505.051.876;2005-06-14;SH_CLERK;3800;;122;50
189;Jennifer;Dilly;JDILLY;6.505.052.876;2005-08-13;SH_CLERK;3600;;122;50
190;Timothy;Gates;TGATES;6.505.053.876;2006-07-11;SH_CLERK;2900;;122;50
191;Randall;Perkins;RPERKINS;6.505.054.876;2007-12-19;SH_CLERK;2500;;122;50
192;Sarah;Bell;SBELL;6.505.011.876;2004-02-04;SH_CLERK;4000;;123;50
193;Britney;Everett;BEVERETT;6.505.012.876;2005-03-03;SH_CLERK;3900;;123;50
194;Samuel;McCain;SMCCAIN;6.505.013.876;2006-07-01;SH_CLERK;3200;;123;50
195;Vance;Jones;VJONES;6.505.014.876;2007-03-17;SH_CLERK;2800;;123;50
196;Alana;Walsh;AWALSH;6.505.079.811;2006-04-24;SH_CLERK;3100;;124;50
197;Kevin;Feeney;KFEENEY;6.505.079.822;2006-05-23;SH_CLERK;3000;;124;50
198;Donald;OConnell;DOCONNEL;6.505.079.833;2007-06-21;SH_CLERK;2600;;124;50
199;Douglas;Grant;DGRANT;6.505.079.844;2008-01-13;SH_CLERK;2600;;124;50
200;Jennifer;Whalen;JWHALEN;5.151.234.444;1987-09-17;AD_ASST;4400;;101;10
201;Michael;Hartstein;MHARTSTE;5.151.235.555;2004-02-17;MK_MAN;13000;;100;20
202;Pat;Fay;PFAY;6.031.236.666;2005-08-17;MK_REP;6000;;201;20
203;Susan;Mavris;SMAVRIS;5.151.237.777;2002-06-07;HR_REP;6500;;101;40
204;Hermann;Baer;HBAER;5.151.238.888;2002-06-07;PR_REP;10000;;101;70
205;Shelley;Higgins;SHIGGINS;5.151.238.080;2002-06-07;AC_MGR;12008;;101;110
206;William;Gietz;WGIETZ;5.151.238.181;2002-06-07;AC_ACCOUNT;8300;;205;110
